,Count,cell_bin,Coverage,TF_name,mean_delta,num_peaks,median,std,min,max,p25,p75
CTCF,210,"(200, 300]",0.05433828596550204,CTCF,247.63868865231962,723866.0,231.0,109.05081169067336,51.0,1498.0,178.0,292.0
BRD4,82,"(50, 100]",0.11322985304844418,BRD4,337.97648412837003,1105211.0,293.0,173.46297755624644,52.0,1499.0,221.0,412.0
EZH2,57,"(50, 100]",0.06661845204408483,EZH2,360.3245272315295,609918.0,311.0,212.1472629495812,64.0,1499.0,228.0,445.0
MYC,51,"(50, 100]",0.027452051251434663,MYC,227.68548837209303,397750.0,192.0,122.48194670767187,70.0,1499.0,146.0,277.0
STAT3,38,"(30, 40]",0.035174761502933326,STAT3,267.7614597394806,433365.0,244.0,112.64271789965538,93.0,1480.0,186.0,322.0
RELA,36,"(30, 40]",0.0409541962504122,RELA,247.33549233943384,546239.0,223.0,115.34173234881573,76.0,1497.0,170.0,297.0
FOXA1,34,"(30, 40]",0.06576304033653868,FOXA1,271.4973669522472,799074.0,252.0,112.70806758245746,51.0,1497.0,202.0,316.0
RAD21,33,"(30, 40]",0.03481063054781119,RAD21,274.3789862257637,418535.0,243.0,140.753984732975,63.0,1497.0,177.0,338.0
MED1,33,"(30, 40]",0.05387914126217772,MED1,326.77287276190265,543933.0,284.0,167.65752646096016,93.0,1499.0,216.0,390.0
TP53,32,"(30, 40]",0.02091064257050208,TP53,267.5954900576447,257786.0,248.0,117.60574573441666,74.0,1495.0,186.0,321.0
NR3C1,32,"(30, 40]",0.037132340813515144,NR3C1,250.14105724011606,489709.0,226.0,136.63355321714516,51.0,1499.0,152.0,312.0
AR,29,"(20, 30]",0.0587866318820353,AR,234.84696771537213,825780.0,218.0,96.85361043459906,51.0,1495.0,172.0,278.0
SMARCA4,28,"(20, 30]",0.07448567872737676,SMARCA4,341.1934244490636,720183.0,300.0,186.77585280999128,53.0,1499.0,225.0,415.0
YY1,27,"(20, 30]",0.02674707216854573,YY1,270.1354684251937,326637.0,230.0,162.89147323032145,90.0,1499.0,160.0,327.0
RUNX1,26,"(20, 30]",0.03434820233774392,RUNX1,307.4727400509055,368526.0,262.0,171.15468258801818,100.0,1499.0,203.0,350.0
REST,26,"(20, 30]",0.02525758657218793,REST,266.76278946172044,312347.0,239.0,143.31312725997532,79.0,1499.0,166.0,325.0
SPI1,25,"(20, 30]",0.01952934840007263,SPI1,192.18041970557968,335235.0,186.0,68.02819014807967,52.0,1415.0,152.0,223.0
HSF1,24,"(20, 30]",0.007952475090862244,HSF1,249.71934968017058,105056.0,229.0,88.59578312026885,88.0,1499.0,186.0,291.0
ESR1,24,"(20, 30]",0.07248997290792288,ESR1,275.8641109556346,866869.0,259.0,117.99596041558358,73.0,1499.0,202.0,328.0
EP300,23,"(20, 30]",0.035085004639326456,EP300,283.7288108586459,407933.0,250.0,153.23717450338992,93.0,1499.0,178.0,340.0
JUN,22,"(20, 30]",0.038554355378267124,JUN,288.87456789450493,440286.0,251.0,161.6837472377023,53.0,1499.0,184.0,347.0
TEAD4,21,"(20, 30]",0.02598417671916712,TEAD4,282.22274388437097,303730.0,255.0,118.67679155423944,105.0,1493.0,205.0,331.0
MAX,20,"(10, 20]",0.029007455852577375,MAX,259.6635958830696,368527.0,221.0,138.16324192044067,99.0,1499.0,167.0,310.0
GATA2,19,"(10, 20]",0.03843941384818884,GATA2,276.85939164759924,458024.0,251.0,118.84126936950503,114.0,1491.0,196.0,324.0
MYCN,19,"(10, 20]",0.022971321325266657,MYCN,293.52212831556767,258176.0,253.0,160.5105996448498,68.0,1499.0,187.0,362.0
SUZ12,19,"(10, 20]",0.01605404388011844,SUZ12,353.5698816334978,149789.0,296.0,200.5631539183532,109.0,1499.0,221.0,428.0
POU5F1,18,"(10, 20]",0.026318816436520096,POU5F1,295.93492895049883,293387.0,259.0,155.12872282809272,101.0,1495.0,177.0,372.0
ETS1,18,"(10, 20]",0.01823272183967661,ETS1,284.71147401306445,211260.0,250.0,131.29771918986683,107.0,1499.0,192.0,339.0
SOX2,18,"(10, 20]",0.01766997631475513,SOX2,273.54922240889,213094.0,245.0,127.24887318028479,95.0,1499.0,184.0,327.0
GATA3,18,"(10, 20]",0.02810966956899744,GATA3,285.53186746190346,324767.0,256.0,126.51889492377622,113.0,1499.0,204.0,328.0
FOS,17,"(10, 20]",0.02591510515990226,FOS,286.6375407785903,298257.0,247.0,193.01801638613676,52.0,1499.0,173.0,338.0
JUND,17,"(10, 20]",0.01852907257034971,JUND,229.3590074557141,266507.0,204.0,108.19515200943275,94.0,1497.0,156.0,274.0
KMT2A,17,"(10, 20]",0.029719322054484035,KMT2A,343.50241926724755,285417.0,293.0,179.65627925948866,121.0,1499.0,220.0,418.0
RNF2,16,"(10, 20]",0.022146222944696366,RNF2,375.68555076182594,194467.0,317.0,206.9092612427589,117.0,1499.0,242.0,448.0
CEBPB,16,"(10, 20]",0.020767681499962335,CEBPB,230.11189743658642,297728.0,205.0,109.93978687142906,101.0,1484.0,158.0,270.0
SMC3,16,"(10, 20]",0.019097609701607135,SMC3,313.8157442505691,200759.0,277.0,174.39967394638032,107.0,1499.0,193.0,376.0
TP63,16,"(10, 20]",0.020239146041232062,TP63,233.86538070852626,285494.0,211.0,100.46061293554403,116.0,1496.0,159.0,284.0
SMARCC1,15,"(10, 20]",0.037694896275777115,SMARCC1,375.69759811474665,330990.0,318.0,200.15359298718485,140.0,1499.0,237.0,452.0
EGR1,15,"(10, 20]",0.016320408058212738,EGR1,279.203201734143,192833.0,245.0,138.04324799870625,85.0,1496.0,194.0,327.0
KDM1A,15,"(10, 20]",0.02564231249884102,KDM1A,298.7629229356502,283140.0,268.0,127.99214076494987,86.0,1499.0,216.0,343.0
SMAD3,15,"(10, 20]",0.02511517992685432,SMAD3,293.73331962505495,282068.0,245.0,171.92993652024663,84.0,1499.0,172.0,366.0
ARNT,15,"(10, 20]",0.015790804671652385,ARNT,396.538548200475,131368.0,344.0,178.59096695496171,167.0,1498.0,266.0,475.0
ERG,15,"(10, 20]",0.033542175092995855,ERG,233.20340997702797,474490.0,207.0,98.88882685777888,109.0,1497.0,166.0,271.0
GABPA,15,"(10, 20]",0.013155099373485513,GABPA,208.40244142547746,208239.0,180.0,96.12929638022418,51.0,1493.0,144.0,239.0
STAG1,14,"(10, 20]",0.01360948038511249,STAG1,246.00675612736367,182501.0,225.0,119.5108495944722,88.0,1490.0,163.0,302.0
TAF1,14,"(10, 20]",0.01055102601883178,TAF1,260.5229409299123,133604.0,207.0,160.6806961227547,97.0,1496.0,147.0,322.0
TAL1,14,"(10, 20]",0.0167083514092168,TAL1,221.24658111595906,249131.0,196.0,91.37041547969996,85.0,1489.0,159.0,257.0
E2F1,13,"(10, 20]",0.01344804777036218,E2F1,351.653696158785,126158.0,311.0,184.298058124326,114.0,1497.0,212.0,444.0
HIF1A,13,"(10, 20]",0.014741826422167903,HIF1A,282.0308464058921,172435.0,248.0,141.64679548335914,51.0,1494.0,198.0,326.0
SIN3A,13,"(10, 20]",0.016121432157169154,SIN3A,260.6776182610443,204019.0,221.0,138.9976906611722,88.0,1491.0,162.0,317.0
ZNF143,13,"(10, 20]",0.021288683869136734,ZNF143,221.95094479155802,316419.0,187.0,111.10246408182917,95.0,1482.0,153.0,245.0
